iter,min,max
8,-6.0,5.0
8,-6.0,5.0
8,-6.0,5.0
8,-6.0,5.0
8,-6.0,6.0
8,-6.0,6.0
8,-6.0,6.0
9,-6.0,7.0
9,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
10,-6.0,7.0
0,-1.0,0.0
1,-1.0,1.0
1,-1.0,1.0
2,-1.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
2,-2.0,1.0
3,-2.0,1.0
3,-2.0,1.0
3,-3.0,1.0
3,-3.0,2.0
3,-3.0,2.0
4,-3.0,2.0
4,-3.0,2.0
4,-3.0,3.0
4,-3.0,3.0
4,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,4.0
5,-4.0,4.0
5,-4.0,4.0
5,-4.0,4.0
6,-4.0,4.0
6,-4.0,4.0
6,-4.0,4.0
6,-4.0,4.0
6,-4.0,5.0
6,-4.0,5.0
7,-4.0,5.0
7,-5.0,5.0
8,-5.0,5.0
8,-5.0,5.0
8,-5.0,5.0
9,-6.0,5.0
9,-6.0,5.0
9,-6.0,5.0
9,-6.0,5.0
9,-6.0,5.0
10,-7.0,5.0
10,-7.0,5.0
10,-7.0,5.0
11,-7.0,5.0
11,-7.0,5.0
11,-8.0,5.0
12,-8.0,5.0
12,-8.0,5.0
12,-8.0,5.0
12,-8.0,5.0
14,-9.0,5.0
14,-9.0,5.0
14,-9.0,5.0
14,-9.0,5.0
14,-9.0,5.0
14,-9.0,5.0
0,-1.0,0.0
0,-1.0,0.0
1,-1.0,1.0
1,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,1.0
3,-1.0,2.0
3,-2.0,2.0
4,-2.0,2.0
4,-2.0,2.0
4,-2.0,2.0
4,-2.0,2.0
4,-2.0,2.0
5,-3.0,2.0
5,-3.0,3.0
5,-3.0,2.21606648199446
5,-3.0,2.21606648199446
6,-3.0,2.21606648199446
6,-3.0,2.21606648199446
6,-3.0,2.21606648199446
6,-3.0,2.21606648199446
6,-3.0,2.21606648199446
6,-3.0,2.21606648199446
8,-3.0,2.21606648199446
8,-4.0,2.21606648199446
8,-4.0,2.21606648199446
8,-4.0,2.21606648199446
8,-4.0,3.0
8,-4.0,2.21606648199446
